expenditure_year,expenditure_date,payee_first_name,payee_last_name,organization_name,amount,committee_name,office_sought,district,ballot_issue,purpose,street_address_1,street_address_2,payee_city,payee_state,zip_code,fef_expenditure,electioneering_communication,independent_expenditure,candidate_name,ballot_issue,position
2023,3/23/2023,,,Plumb Marketing,2173.21,Citizens for a Great Denver,City Council At-Large,,,Support Travis Leiker,2899 S Santa Fe Drive,Suite 2,Englewood,CO,'80110',No,Yes,Yes,Travis Leiker,,Support
2023,3/23/2023,,,"Moxie Media, Inc.",5143,Citizens for a Great Denver,City Council At-Large,,,Support Travis Leiker,PO Box 30084,,Seattle,WA,'98113',No,Yes,Yes,Travis Leiker,,Support
2023,3/23/2023,,,Plumb Marketing,3126.63,Citizens for a Great Denver,City Council,2,,Support Kevin Flynn,2899 S Santa Fe Drive,Suite 2,Englewood,CO,'80110',No,Yes,Yes,Kevin Flynn,,Support
2023,3/23/2023,,,Gamino Printing,3671.56,Colorado Working Families Party Independent Expenditure Committee,City Council At-Large,,,Mailer to Support Sarah Parady and other WFP candidates,P.O. Box 9839,,Denver,CO,'80209',No,Yes,Yes,Sarah Parady,,Support
2023,3/23/2023,,,The Strategy Group,47000,Citizens for a Safer Denver,City Council,9,,negative digital on housing,PO Box 3114,,Eldorado Springs,CO,'80025',No,Yes,Yes,Candi CdeBaca,,Oppose
2023,3/23/2023,,,Gamino Printing,18357.83,Colorado Working Families Party Independent Expenditure Committee,Mayor,,,Mailer to Support Lisa Calderon and other WFP Candidates,P.O. Box 9839,,Denver,CO,'80209',No,Yes,Yes,Lisa Calderon,,Support
2023,3/22/2023,,,VoterTexting.com,889.73,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,3213 Duke St #194,,Alexandria,VA,'22314',No,Yes,Yes,Travis Leiker,,Support
2023,3/22/2023,,,Axiom Strategies,1875,A Safe and Prosperous Denver,City Council,9,,Direct mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Candi CdeBaca,,Oppose
2023,3/22/2023,,,LC Media,16007.01,A Better Denver,Mayor,,,Ad,1604 Fawn Lane,,Huntingdon Valley,PA,'19006',No,Yes,Yes,Kelly Brough,,Support
2023,3/22/2023,,,Axiom Strategies,2155,A Safe and Prosperous Denver,City Council,8,,Direct mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Brad Revare,,Support
2023,3/22/2023,,,VoterTexting.com,889.74,One Main Street Denver,City Council,1,,Support Amanda Sandoval,3213 Duke St #194,,Alexandria,VA,'22314',No,Yes,Yes,Amanda Sandoval,,Support
2023,3/22/2023,,,Grassroots Media,209000,Advancing Denver,Mayor,,,Media,146 Montgomery Ave.,#201,Bala Cynwyd,PA,'19004',No,Yes,Yes,Mike Johnston,,Support
2023,3/22/2023,,,Axiom Strategies,2155,A Safe and Prosperous Denver,City Council,8,,Direct mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Shontel Lewis,,Oppose
2023,3/22/2023,,,Axiom Strategies,3600,A Safe and Prosperous Denver,City Council,4,,Direct mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/22/2023,,,Axiom Strategies,3500,A Safe and Prosperous Denver,City Council,2,,Direct mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Tiffany Caudill,,Oppose
2023,3/22/2023,,,Axiom Strategies,3600,A Safe and Prosperous Denver,City Council,4,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Tony Pigford,,Oppose
2023,3/22/2023,,,Axiom Strategies,13760,A Safe and Prosperous Denver,City Council At-Large,,,Direct mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Travis Leiker,,Support
2023,3/22/2023,,,Axiom Strategies,2155,A Safe and Prosperous Denver,City Council,8,,Direct mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Shontel Lewis,,Oppose
2023,3/22/2023,,,VoterTexting.com,1165.47,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,3213 Duke St #194,,Alexandria,VA,'22314',No,Yes,Yes,Travis Leiker,,Support
2023,3/22/2023,,,Axiom Strategies,1875,A Safe and Prosperous Denver,City Council,9,,Direct mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Candi CdeBaca,,Oppose
2023,3/22/2023,,,Axiom Strategies,13760,A Safe and Prosperous Denver,City Council At-Large,,,Direct mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Travis Leiker,,Support
2023,3/22/2023,,,VoterTexting.com,1165.48,One Main Street Denver,City Council,9,,Support Darrell Watson,3213 Duke St #194,,Alexandria,VA,'22314',No,Yes,Yes,Darrell Watson,,Support
2023,3/22/2023,,,Uplift,13326.66,A Better Denver,Mayor,,,Media Buy,2120 University Ave,,Berkley,CA,'94704',No,Yes,Yes,Kelly Brough,,Support
2023,3/22/2023,,,Axiom Strategies,3600,A Safe and Prosperous Denver,City Council,4,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Tony Pigford,,Oppose
2023,3/22/2023,,,Axiom Strategies,3500,A Safe and Prosperous Denver,City Council,2,,Direct mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Kevin Flynn,,Support
2023,3/22/2023,,,Axiom Strategies,13760,A Safe and Prosperous Denver,City Council At-Large,,,Direct mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Travis Leiker,,Support
2023,3/22/2023,,,Axiom Strategies,1875,A Safe and Prosperous Denver,City Council,9,,Direct mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Darrell Watson,,Support
2023,3/21/2023,,,Superior Blue,356.77,CWA-COPE Treasury,Mayor,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Leslie Herod,,Support
2023,3/21/2023,,,Artist Proof Collective,2209.6,SEIU Colorado State Council,City Council,10,,Support Chris,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Chris Hinds,,Support
2023,3/21/2023,,,Superior Blue,356.78,CWA-COPE Treasury,City Council At-Large,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Serena Gonzales Gutierrez,,Support
2023,3/21/2023,,,Wavelength Strategy ,50000,Advancing Denver,Mayor,,,Media buy,712 H. Street NE.,Unit 526,Washington,DC,'20002',No,Yes,Yes,Mike Johnston,,Support
2023,3/21/2023,,,Resonance Campaigns,43017.78,Advancing Denver,Mayor,,,Postage,913 Florida Ave NW,,Washington,DC,'20001',No,Yes,Yes,Mike Johnston,,Support
2023,3/21/2023,,,Break Something Inc.,26000,A Better Denver!,Mayor,,,Digital production and ad buy,1380 Monroe St NW,#409,Washington ,DC,'20010',No,Yes,Yes,Chris Hansen,,Support
2023,3/21/2023,,,Ascend Digital Strategies,7375,Citizens for a Great Denver,City Council,2,,Support Kevin Flynn,"641 S St., NW",#305,Washington,DC,'20001',No,Yes,Yes,Kevin Flynn,,Support
2023,3/21/2023,,,"Meta Platforms, Inc.",18,Save Denver Now,Mayor,,,"Instagram / Facebook Ads
",1601 Willow Road,,Menlo Park,CA,'94025',No,Yes,Yes,Ean Tafoya,,Oppose
2023,3/21/2023,,,Artist Proof Collective,1694,SEIU Colorado State Council,City Council,8,,Support Shontel Lewis,760 Umatilla St,,Denver,CO,'80204',No,No,Yes,Shontel Lewis,,Support
2023,3/21/2023,,,Ascend Digital Strategies,18000,Citizens for a Great Denver,City Council At-Large,,,Support Travis Leiker,"641 S St., NW",#305,Washington,DC,'20001',No,Yes,Yes,Travis Leiker,,Support
2023,3/21/2023,,,Superior Blue,356.78,CWA-COPE Treasury,City Council,8,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Shontel Lewis,,Support
2023,3/21/2023,,,Artist Proof Collective,1887.2,SEIU Colorado State Council,City Council,9,,Support Candi,760 Umatilla St,,Denver,CO,'80204',No,No,Yes,Candi CdeBaca,,Support
2023,3/21/2023,,,Superior Blue,356.77,CWA-COPE Treasury,Mayor,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Kwame Spearman,,Oppose
2023,3/21/2023,,,Superior Blue,356.78,CWA-COPE Treasury,City Council,5,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Amanda Sawyer,,Support
2023,3/21/2023,,,Superior Blue,356.77,CWA-COPE Treasury,Mayor,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Deborah Ortega,,Support
2023,3/21/2023,,,Superior Blue,356.78,CWA-COPE Treasury,Auditor,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Timothy O'Brien,,Support
2023,3/21/2023,,,Superior Blue,356.77,CWA-COPE Treasury,Mayor,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Lisa Calderon,,Support
2023,3/21/2023,,,Sticky LLC,5256.13,One Main Street Denver,City Council,5,,Support Amanda Sawyer,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Amanda Sawyer,,Support
2023,3/21/2023,,,Sticky LLC,5256.12,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Travis Leiker,,Support
2023,3/21/2023,,,Superior Blue,356.78,CWA-COPE Treasury,City Council,6,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Paul Kashmann,,Support
2023,3/21/2023,,,Superior Blue,356.78,CWA-COPE Treasury,City Council At-Large,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Sarah Parady,,Support
2023,3/21/2023,,,Superior Blue,356.77,CWA-COPE Treasury,City Council,11,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Stacie Gilmore,,Support
2023,3/21/2023,,,Superior Blue,356.78,CWA-COPE Treasury,Clerk and Recorder,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Paul López,,Support
2023,3/21/2023,,,Superior Blue,356.77,CWA-COPE Treasury,Mayor,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Kelly Brough,,Oppose
2023,3/21/2023,,,Superior Blue,356.77,CWA-COPE Treasury,Mayor,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Chris Hansen,,Support
2023,3/21/2023,,,Superior Blue,356.77,CWA-COPE Treasury,Mayor,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Mike Johnston,,Oppose
2023,3/21/2023,,,Superior Blue,356.78,CWA-COPE Treasury,City Council,4,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Tony Pigford,,Support
2023,3/21/2023,,,"Meta Platforms, Inc.",21,Save Denver Now,Mayor,,,Instagram / Facebook Ads,1601 Willow Road,,Menlo Park,CA,'94025',No,Yes,Yes,Leslie Herod,,Oppose
2023,3/21/2023,,,Superior Blue,356.77,CWA-COPE Treasury,Mayor,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Andre Rougeot,,Oppose
2023,3/21/2023,,,Superior Blue,356.78,CWA-COPE Treasury,City Council,3,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Jamie Torres,,Support
2023,3/21/2023,,,Superior Blue,356.78,CWA-COPE Treasury,City Council,9,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Candi CdeBaca,,Support
2023,3/21/2023,,,"Meta Platforms, Inc.",21,Save Denver Now,Mayor,,,"Instagram / Facebook Ads
",1601 Willow Road,,Menlo Park,CA,'94025',No,Yes,Yes,Lisa Calderon,,Oppose
2023,3/21/2023,,,Superior Blue,356.77,CWA-COPE Treasury,City Council,10,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Chris Hinds,,Support
2023,3/20/2023,,,The Colibri Collective,15500,COLOR Action Fund,City Council At-Large,,,Printing and Shipping of Mailer Advertising,1425 N 1st St,Suite 100,Phoenix,AZ,'85004',No,Yes,Yes,Sarah Parady,,Support
2023,3/20/2023,,,The Colibri Collective,15500,COLOR Action Fund,City Council At-Large,,,Printing and Shipping of Mailer Advertising,1425 N 1st St,Suite 100,Phoenix,AZ,'85004',No,Yes,Yes,Serena Gonzales Gutierrez,,Support
2023,3/20/2023,,,"Meta Platforms, Inc.",50,Save Denver Now,Mayor,,,Meta Ads,1601 Willow Road,,Menlo Park,CA,'94025',No,No,Yes,Lisa Calderon,,Oppose
2023,3/20/2023,,,"Meta Platforms, Inc.",50,Save Denver Now,Mayor,,,Meta Ads ,1601 Willow Road,,Menlo Park,CA,'94025',No,Yes,Yes,Leslie Herod,,Oppose
2023,3/20/2023,,,Civic Voice Strategies,2912.78,Citizens for a Great Denver,City Council At-Large,,,Support Travis Leiker,800 Fourth Avenue,Suite 4,Grinnell,IN,'50112',No,Yes,Yes,Travis Leiker,,Support
2023,3/20/2023,,,Facebook,6797.17,COLOR Action Fund,City Council At-Large,,,Digital Advertising,1 Hacker Way,,Menlo Park,CA,'94025',No,Yes,Yes,Sarah Parady,,Support
2023,3/20/2023,,,"Mission Control, Inc. ",8989,Servicios Sigue,City Council,4,,"Mailer, printing, and postage",624 Hebron Ave,,Glastonbury,CT,'06033',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/20/2023,,,Sticky LLC,2512.47,Police Protective Association,City Council,5,,Direct Mail,13617 County Road 109H,,Lady Lake,FL,'32159',No,Yes,Yes,Amanda Sawyer,,Support
2023,3/20/2023,,,"Mission Control, Inc. ",8911,Servicios Sigue,City Council,4,,"Mailer, printing, and postage",624 Hebron Ave,,Glastonbury,CT,'06033',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/20/2023,,,Civic Voice Strategies,785.2,Citizens for a Great Denver,City Council,2,,Support Kevin Flynn,800 Fourth Avenue,Suite 4,Grinnell,IN,'50112',No,Yes,Yes,Kevin Flynn,,Support
2023,3/20/2023,,,Civic Voice Strategies,785.2,Citizens for a Great Denver,City Council,9,,Support Darrell Watson,800 Fourth Avenue,Suite 4,Grinnell,IN,'50112',No,Yes,Yes,Darrell Watson,,Support
2023,3/20/2023,,,"Mission Control, Inc. ",8018.21,Servicios Sigue,City Council,4,,"Mailer, printing, and postage",624 Hebron Ave,,Glastonbury,CT,'06033',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/20/2023,,,Sticky LLC,2364.29,Police Protective Association,City Council At-Large,,,Direct Mail,13617 County Road 109H,,Lady Lake,FL,'32159',No,Yes,Yes,Travis Leiker,,Support
2023,3/20/2023,,,Sticky LLC,2172.05,Police Protective Association,City Council At-Large,,,Direct Mail,13617 County Road 109H,,Lady Lake,FL,'32159',No,Yes,Yes,Travis Leiker,,Support
2023,3/20/2023,,,Facebook,6797.18,COLOR Action Fund,City Council At-Large,,,Digital Advertising,1 Hacker Way,,Menlo Park,CA,'94025',No,Yes,Yes,Serena Gonzales Gutierrez,,Support
2023,3/20/2023,,,BattleAxe Digital,30066,Servicios Sigue,City Council,4,,Digital program,1405 Florida Ave NW,,Washington DC,DC,'20009',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/20/2023,,,"Mission Control, Inc. ",8453.28,Servicios Sigue,City Council,4,,"Mailer, printing, and postage",624 Hebron Ave,,Glastonbury,CT,'06033',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/20/2023,,,Sticky LLC,2512.47,Police Protective Association,City Council At-Large,,,Direct Mail,13617 County Road 109H,,Lady Lake,FL,'32159',No,Yes,Yes,Travis Leiker,,Support
2023,3/20/2023,,,"Mission Control, Inc. ",8453.28,Servicios Sigue,City Council,4,,"Mailer, printing, and postage",624 Hebron Ave,,Glastonbury,CT,'06033',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/20/2023,,,Sticky LLC,2364.29,Police Protective Association,City Council,4,,Direct Mail,13617 County Road 109H,,Lady Lake,FL,'32159',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/20/2023,,,Civic Voice Strategies,785.2,Citizens for a Great Denver,City Council,4,,Support Diana Romero Campbell,800 Fourth Avenue,Suite 4,Grinnell,IN,'50112',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/20/2023,,,Sticky LLC,2172.05,Police Protective Association,City Council,2,,Direct Mail,13617 County Road 109H,,Lady Lake,FL,'32159',No,Yes,Yes,Kevin Flynn,,Support
2023,3/20/2023,,,Civic Voice Strategies,785.2,Citizens for a Great Denver,City Council,8,,Support Brad Revare,800 Fourth Avenue,Suite 4,Grinnell,IN,'50112',No,Yes,Yes,Brad Revare,,Support
2023,3/18/2023,,,We the People Strategies,7700,One Main Street Denver,City Council,9,,Support Darrell Watson,"2519 S Shields St, Ste 1000 PMB 1041",,Fort Collins,CO,'80526',No,Yes,Yes,Darrell Watson,,Support
2023,3/18/2023,,,VoterTexting.com,962.33,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,3213 Duke St #194,,Alexandria,VA,'22314',No,Yes,Yes,Travis Leiker,,Support
2023,3/18/2023,,,We the People Strategies,7700,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,"2519 S Shields St, Ste 1000 PMB 1041",,Fort Collins,CO,'80526',No,Yes,Yes,Travis Leiker,,Support
2023,3/17/2023,,,Sticky LLC,3254.95,One Main Street Denver,City Council,9,,Support Darrell Watson,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Darrell Watson,,Support
2023,3/17/2023,,,Sticky LLC,3254.94,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Travis Leiker,,Support
2023,3/17/2023,,,VoterTexting.com,962.33,One Main Street Denver,City Council,2,,Support Kevin Flynn,3213 Duke St #194,,Alexandria,VA,'22314',No,Yes,Yes,Kevin Flynn,,Support
2023,3/17/2023,,,LC Media,103183,A Better Denver,Mayor,,,Media Buy,1604 Fawn Lane,,Huntingdon Valley,PA,'19006',No,Yes,Yes,Kelly Brough,,Support
2023,3/17/2023,,,VoterTexting.com,544.81,One Main Street Denver,City Council,5,,Support Amanda Sawyer,3213 Duke St #194,,Alexandria,VA,'22314',No,Yes,Yes,Amanda Sawyer,,Support
2023,3/17/2023,,,Uplift,26701.34,A Better Denver,Mayor,,,Media Buy,2120 University Ave,,Berkley,CA,'94704',No,Yes,Yes,Kelly Brough,,Support
2023,3/17/2023,,,VoterTexting.com,1074.78,One Main Street Denver,City Council,4,,Support Diana Romero Campbell,3213 Duke St #194,,Alexandria,VA,'22314',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/17/2023,,,Open Answer LLC,108750,A Better Denver,Mayor,,,Canvassing,303 E 17th Ave #405,,Denver,CO,'80203',No,Yes,Yes,Kelly Brough,,Support
2023,3/17/2023,,,Sticky LLC,3392.94,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Travis Leiker,,Support
2023,3/17/2023,,,VoterTexting.com,544.81,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,3213 Duke St #194,,Alexandria,VA,'22314',No,Yes,Yes,Travis Leiker,,Support
2023,3/17/2023,,,Sticky LLC,3392.94,One Main Street Denver,City Council,1,,Support Amanda Sandoval ,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Amanda Sandoval,,Support
2023,3/17/2023,,,VoterTexting.com,1074.78,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,3213 Duke St #194,,Alexandria,VA,'22314',No,Yes,Yes,Travis Leiker,,Support
2023,3/17/2023,,,Citizens for a Safer Denver,8108.56,Citizens for a Safer Denver,City Council,9,,communications,191 University Blvd,Ste 118,Denver,CO,'80260',No,Yes,Yes,Candi CdeBaca,,Oppose
2023,3/16/2023,Alvertis ,Simmons,,5250,Ready Denver,Mayor,,,Canvassing,5222 E 33rd Avenue,,Denver,CO,'80207',No,No,Yes,Leslie Herod,,Support
2023,3/16/2023,,,Sticky LLC,892.5,One Main Street Denver,City Council,9,,Campaign Literature ,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Darrell Watson,,Support
2023,3/16/2023,,,Sticky LLC,892.5,One Main Street Denver,City Council At-Large,,,Campaign Literature ,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Travis Leiker,,Support
2023,3/16/2023,,,Counterpoint Messaging,40000,Ready Denver,Mayor,,,Television and Cable Advertisting,1205 John Hood Drive,,Rockvale,TN,'37153',No,No,Yes,Leslie Herod,,Support
2023,3/15/2023,,,Hudson Bay Company,3539.5,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,5631 S. 48th St.,Suite 400,Lincoln,NE,'68516',No,No,Yes,Travis Leiker,,Support
2023,3/15/2023,,,The Strategy Division,8483.74,Denver Firefighters - IAFF Local 858,City Council,5,,Campaign Literature,PO Box 3114,,Eldorado Springs,CO,'80025',No,No,Yes,Amanda Sawyer,,Support
2023,3/15/2023,,,Wavelength Strategy ,100000,Advancing Denver,Mayor,,,Media buy,712 H Street NE ,Unit 526,Washington,DC,'20002',No,Yes,Yes,Mike Johnston,,Support
2023,3/15/2023,,,Hudson Bay Company,5677,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,5631 S. 48th St.,Suite 400,Lincoln,NE,'68516',No,Yes,Yes,Travis Leiker,,Support
2023,3/15/2023,,,Hudson Bay Company,5677,One Main Street Denver,City Council,1,,Support Amanda Sandoval,5631 S. 48th St.,Suite 400,Lincoln,NE,'68516',No,Yes,Yes,Amanda Sandoval,,Support
2023,3/15/2023,,,Hudson Bay Company,3539.5,One Main Street Denver,City Council,4,,Phones,5631 S. 48th St.,Suite 400,Lincoln,NE,'68516',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/15/2023,,,The Strategy Division,5216.41,Denver Firefighters - IAFF Local 858,City Council,7,,Campaign Literature,PO Box 3114,,Eldorado Springs ,CO,'80025',No,No,Yes,Flor Alvidrez,,Support
2023,3/15/2023,,,The Strategy Division,2430.07,Denver Firefighters - IAFF Local 858,City Council,3,,Campaign Literature,PO Box 3114,,Eldorado Springs,CO,'80025',No,No,Yes,Jamie Torres,,Support
2023,3/15/2023,,,The Strategy Division,1132.63,Denver Firefighters - IAFF Local 858,City Council,1,,Campaign Litrerature   ,PO Box 3114,,Eldorado Springs,CO,'80025',No,No,Yes,Amanda Sandoval,,Support
2023,3/15/2023,,,Grassroots Media,380000,Advancing Denver,Mayor,,,Media,732 Montgomery Ave.,,Narberth,PA,'19004',No,Yes,Yes,Mike Johnston,,Support
2023,3/14/2023,,,Axiom Strategies,13760,A Safe and Prosperous Denver,City Council,10,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Travis Leiker,,Support
2023,3/14/2023,,,Axiom Strategies,3600,A Safe and Prosperous Denver,City Council,4,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/14/2023,,,Axiom Strategies,1875,A Safe and Prosperous Denver,City Council,9,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Darrell Watson,,Support
2023,3/14/2023,,,Axiom Strategies,3500,A Safe and Prosperous Denver,City Council,2,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Tiffany Caudill,,Oppose
2023,3/14/2023,,,Axiom Strategies,2155,A Safe and Prosperous Denver,City Council,8,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Brad Revare,,Support
2023,3/14/2023,,,Axiom Strategies,1875,A Safe and Prosperous Denver,City Council,9,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Candi CdeBaca,,Oppose
2023,3/14/2023,,,Axiom Strategies,2155,A Safe and Prosperous Denver,City Council,8,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Shontel Lewis,,Oppose
2023,3/14/2023,,,Axiom Strategies,3500,A Safe and Prosperous Denver,City Council,2,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Kevin Flynn,,Support
2023,3/14/2023,,,Axiom Strategies,13760,A Safe and Prosperous Denver,City Council At-Large,,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Travis Leiker,,Support
2023,3/14/2023,,,Axiom Strategies,3600,A Safe and Prosperous Denver,City Council,4,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Tony Pigford,,Oppose
2023,3/14/2023,,,Axiom Strategies,2155,A Safe and Prosperous Denver,City Council,8,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Brad Revare,,Support
2023,3/14/2023,,,Axiom Strategies,1875,A Safe and Prosperous Denver,City Council,9,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Darrell Watson,,Support
2023,3/14/2023,,,Axiom Strategies,3500,A Safe and Prosperous Denver,City Council,2,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Kevin Flynn,,Support
2023,3/14/2023,,,Axiom Strategies,13760,A Safe and Prosperous Denver,City Council At-Large,,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Travis Leiker,,Support
2023,3/14/2023,,,WR Communications Inc,1333.34,Housing for Colorado,City Council,2,,Digital Advertising,1782 Locust Street,,Denver,CO,'80220',No,Yes,Yes,Kevin Flynn,,Support
2023,3/14/2023,,,Axiom Strategies,3600,A Safe and Prosperous Denver,City Council,4,,Direct Mail,800 W 47th Street,Suite 200,Kansas City,MO,'64112',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/13/2023,,,Facebook,926.29,COLOR Action Fund,City Council At-Large,,,Digital Advertising,1 Hacker Way,,Menlo Park,CA,'94025',No,Yes,Yes,Serena Gonzales Gutierrez,,Support
2023,3/13/2023,,,OutFront Media,660.84,Save Denver Now,Mayor,,,Advertising,4647 Leyden St,,Denver,CO,'80216',No,Yes,Yes,Leslie Herod,,Oppose
2023,3/13/2023,,,WR Communications Inc,1333.33,Housing for Colorado,City Council At-Large,,,Digital advertising,1782 Locust Street,,Denver,CO,'80220',No,Yes,Yes,Travis Leiker,,Support
2023,3/13/2023,,,WR Communications Inc,1333.33,Housing for Colorado,City Council At-Large,,,Digital advertising,1782 Locust Street,,Denver,CO,'80220',No,Yes,Yes,Tim Hoffman,,Support
2023,3/13/2023,,,WR Communications Inc,1666.66,Housing for Colorado,City Council At-Large,,,Digital advertising,1782 Locust Street,,Denver,CO,'80220',No,Yes,Yes,Travis Leiker,,Support
2023,3/13/2023,,,Out Front Media,1015,Housing for Colorado,City Council,2,,Billboards,4647 Leyden Street,,Denver,CO,'80216',No,Yes,Yes,Kevin Flynn,,Support
